"","F3D0","F3D1","F3D141","F3D142","F3D143","F3D144","F3D145","F3D146","F3D147","F3D148","F3D149","F3D150","F3D2","F3D3","F3D5","F3D6","F3D7","F3D8","F3D9","Mock"
"otu 168 ",0,0,0,0,0,0,4,0,6,15,9,0,0,0,0,0,0,0,0,0
"otu 169 ",0,0,0,0,0,0,0,0,13,0,7,0,0,11,3,0,0,0,0,0
"otu 170 ",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,10,0
"otu 171 ",0,0,0,0,0,0,0,0,9,5,0,0,8,0,0,0,0,0,9,0
"otu 172 ",9,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
"otu 173 ",0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,8,0,0,0,0
"otu 174 ",0,0,0,0,0,0,0,0,12,7,6,0,0,0,0,0,0,0,0,0
"otu 175 ",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,9,0,0,9,0
"otu 176 ",0,0,0,0,0,0,0,0,5,9,8,0,0,0,0,0,0,3,0,0
"otu 177 ",10,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
"otu 178 ",6,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,0
"otu 179 ",0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,5,8,0,0
"otu 180 ",0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
"otu 181 ",0,0,0,0,0,0,0,6,0,6,9,0,0,0,0,0,0,0,0,0
"otu 182 ",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,16,0
"otu 183 ",3,0,0,0,0,0,0,0,0,0,5,0,3,0,0,9,0,0,0,0
"otu 184 ",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"otu 185 ",0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,5,0
"otu 186 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
"otu 187 ",5,0,3,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0
"otu 188 ",3,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0
"otu 189 ",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
"otu 190 ",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0
"otu 191 ",10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
"otu 192 ",0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0
"otu 193 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
"otu 194 ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"otu 195 ",0,0,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 196 ",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otu 197 ",0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,5,0
"otu 198 ",0,0,0,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0
"otu 199 ",0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0
